,trial,ra,dec,elon,elat,r2,p,s,r1,teff1,vmag,icmag,tmag,jmag,kmag,npt_pri,snrf,dm,mult,hostID,ffiClass
144,17.0,17.3905181885,-29.4546699524,2.97432613373,-33.6886558533,2.81361730987,8.19827842712,209.1668396,1.072057724,5970.35302734,9.15659427643,8.51811981201,8.56900024414,8.05700016022,7.73299980164,2.0,9.0230922699,4.59999990463,1.0,804.0,2.0
145,17.0,18.2531757355,-29.3920459747,3.81378698349,-33.9754562378,2.40865387957,3.88613581657,5.3775396347,0.198668092489,3258.88427734,15.4761266708,12.9980640411,12.903175354,11.6218900681,10.8564577103,2.0,11.3118400574,2.75,1.0,236.0,2.0
201,17.0,12.4273777008,-34.1488380432,355.761993408,-35.864238739,4.61854503745,5.23572587967,227.694107056,0.941921949387,5623.41308594,11.6920824051,10.947719574,11.0050001144,10.4169998169,10.0310001373,2.0,18.9202594757,6.55000019073,0.0,413.0,3.0
202,17.0,13.9750270844,-34.4794158936,356.95602417,-36.7685012817,3.51011883082,6.4041018486,140.65057373,0.879350304604,5482.77050781,10.580950737,9.79759979248,9.85799980164,9.23400020599,8.8140001297,2.0,18.8647823334,5.15000009537,1.0,18.0,2.0
203,17.0,13.8148241043,-32.172908783,358.162689209,-34.6760101318,3.60224603177,4.97552967072,23.6712799072,0.514476776123,3826.38183594,14.9264707565,13.0776920319,12.9964427948,12.0042953491,11.1826696396,2.0,9.06657123566,5.69999980927,2.0,487.0,3.0
319,17.0,25.4228820801,-28.5503940582,11.1152076721,-36.0500869751,6.31534326883,2.38602805138,1802.33569336,1.34319221973,6251.72705078,11.8851213455,11.3157596588,11.361000061,10.906999588,10.6350002289,2.0,15.6692476273,8.05000019073,1.0,613.0,3.0
418,17.0,14.9988565445,-35.4331665039,357.29788208,-38.0094490051,8.98220221895,3.69999432564,207.073043823,0.832954645157,5105.04931641,12.9749097824,12.0382003784,12.1049995422,11.3760004044,10.8699998856,2.0,44.1966514587,7.0,1.0,720.0,3.0
474,17.0,11.2224082947,-36.5153236389,353.258575439,-37.4561729431,5.00762296867,17.8673191071,58.4104232788,1.06142151356,5714.78613281,12.8050012589,12.0766000748,12.1330003738,11.5659999847,11.2030000687,2.0,8.0137014389,8.0,0.0,238.0,3.0
566,17.0,24.8339347839,-22.7573661804,13.535369873,-30.5949707031,2.60846329814,6.59573554993,2.51276707649,0.192344948649,3241.58203125,16.7115573883,14.201253891,14.1086874008,12.8058395386,12.0358791351,2.0,11.7959403992,3.84999990463,2.0,149.0,2.0
679,17.0,27.7388038635,-30.5775375366,12.239525795,-38.7646713257,2.9881638165,8.09426116943,9.42486572266,0.464837759733,3702.67407227,14.1599149704,12.1967744827,12.1035070419,11.0733528137,10.2645778656,2.0,10.3309783936,4.44999980927,1.0,647.0,2.0
