property,elong-both,npole-both,shemiAvoid-both,eshort-both,hemis14d-both,nhemi-both
N_uniqPlanets,3910,4060,4020,3970,4150,4040
N_newPlanets,1250,1420,1370,1260,1530,1350
N_pri,2660,2650,2660,2710,2620,2690
N_newPlanets_Pgt20,220,280,240,240,340,270
N_pri_Pgt20,300,300,290,290,300,310
N_newPlanets_NEI,120,130,120,130,160,130
N_pri_NEI,220,220,220,230,220,220
N_sys_with_additional_planets,50,70,70,70,110,80
N_atmospheres,230,150,280,270,280,220
N_atmospheres_HZ,10,10,10,10,20,10
N_atmospheres_primary,770,760,760,790,750,780
N_atmospheres_primary_HZ,30,30,30,30,30,30
