property,npole-ps,nhemi-ps,eshort-ps,hemis14d-ps,elong-ps,shemiAvoid-ps
N_uniqPlanets,2219,2031,2110,2144,2117,2045
N_newPlanets,613,485,469,577,534,476
N_pri,1545,1539,1539,1564,1555,1547
N_newPlanets_Pgt20,156,127,104,176,122,118
N_pri_Pgt20,216,211,211,214,216,210
N_newPlanets_NEI,109,97,91,128,96,99
N_pri_NEI,203,195,198,204,205,203
N_sys_with_additional_planets,56,61,51,83,40,58
N_atmospheres,73,72,112,103,104,90
N_atmospheres_HZ,6,9,12,16,9,13
N_atmospheres_primary,391,386,394,401,393,390
N_atmospheres_primary_HZ,26,24,24,26,24,24
N_new_from_new_star,36,29,112,21,195,68
N_new_from_SNR_boost,576,456,357,556,339,408
