property,shemiAvoid-ps,eshort-ps,hemis14d-ps,elong-ps,npole-ps,nhemi-ps
N_uniqPlanets,2051,2127,2130,2114,2219,2051
N_newPlanets,482,472,584,530,616,499
N_pri,1547,1552,1543,1557,1543,1544
N_newPlanets_Pgt20,119,108,176,118,153,137
N_pri_Pgt20,213,215,216,216,210,214
N_newPlanets_NEI,101,94,128,95,108,102
N_pri_NEI,200,202,200,208,201,196
N_sys_with_additional_planets,59,53,82,38,54,62
N_atmospheres,19,21,17,19,7,11
N_atmospheres_HZ,5,5,5,4,1,3
N_atmospheres_primary,100,104,98,99,102,97
N_atmospheres_primary_HZ,17,18,16,18,17,16
N_new_from_new_star,70,110,20,193,37,29
N_new_from_SNR_boost,411,362,564,337,580,471
