property,nhemi-both,hemis14d-both,shemiAvoid-both,elong-both,eshort-both,npole-both
N_uniqPlanets,4022,4192,4077,3893,3957,4128
N_newPlanets,1309,1495,1397,1207,1263,1446
N_pri,2713,2697,2680,2686,2694,2682
N_newPlanets_Pgt20,289,368,306,248,278,300
N_pri_Pgt20,498,501,498,493,500,500
N_newPlanets_NEI,126,157,139,117,129,133
N_pri_NEI,284,286,287,281,287,285
N_sys_with_additional_planets,71,89,68,45,62,68
N_atmospheres,195,260,270,228,257,153
N_atmospheres_HZ,6,9,9,8,9,4
N_atmospheres_primary,782,780,776,780,785,774
N_atmospheres_primary_HZ,38,40,40,39,41,38
N_new_from_new_star,77,73,192,389,199,94
N_new_from_SNR_boost,1233,1422,1205,818,1064,1352
